p,pm
353.32,239.56
377.76,255.73
358.93,246.32
363.61,254.28
260.23,182.96
302.63,213.63
318.23,234.27
313.89,255.15
320.12,253.82
417.83,315.62
345.6,263.22
289.25,214.06
365.09,264.36
339,234.98
347.8,226.9
395.49,261.86
428.73,274.27
290.14,223.17
320.6,213.69
241.47,167.51
215.36,137.79
201.67,137.51
202.14,141
191.06,136.87
226.51,168.43
209.62,158.67
258.21,197.06
261.95,196.13
261.46,187.65
300.33,215.38
287.98,200.93
380.15,262.2
313.24,211.89
243.83,156.7
249.45,149.17
263.57,159.96
177.74,108.74
202.87,115.05
138.21,79.51
157.4,93.52
176.12,106.63
196.12,122.49
193.23,118.81
205.8,124.76
259.97,157.61
327.01,200.71
249.79,138.73
179.65,101.11
124.47,67.26
148.05,77.16
122.66,63.33
